,country,country_long,gdp,total_est_generation_gwh,avg_est_generation_gwh,total_plants,renewable_plants,renewable_plants_prop,renewable_est_generation_gwh
31,COL,Colombia,311866875156.879,67719.0,3224.714285714286,21,12,0.5714285714285714,49713.0
32,CPV,Cape Verde,1996741539.95088,333.6236792411117,111.20789308037057,3,0,0.0,
33,CRI,Costa Rica,60516044660.7496,9298.0,357.61538461538464,26,23,0.8846153846153846,8255.0
34,CUB,Cuba,96850649700.0,18605.0,1550.4166666666667,12,1,0.08333333333333333,17.0
35,CYP,Cyprus,22946583375.5506,4033.0,1344.3333333333333,3,0,0.0,
36,CZE,Czech Republic,221563575696.217,88880.3674023274,197.51192756072757,450,430,0.9555555555555556,18459.17783766798
37,DEU,Germany,3765351626105.89,627697.0,640.5071428571429,980,598,0.610204081632653,162202.0
38,DJI,Djibouti,2762581334.22612,463.3705005452855,463.3705005452855,1,0,0.0,
39,DNK,Denmark,331610593961.988,30559.0,825.918918918919,37,23,0.6216216216216216,17082.0
40,DOM,Dominican Republic,79070274743.1658,18541.0,1426.2307692307693,13,5,0.38461538461538464,2430.0
41,DZA,Algeria,189880896903.073,63079.0,1971.21875,32,1,0.03125,254.0
42,ECU,Ecuador,104467486000.0,23812.0,1190.6,20,10,0.5,11458.0
43,EGY,Egypt,248362771739.13,184264.6061006055,4285.2233976885,43,5,0.11627906976744186,14302.226012686866
44,ESP,Spain,1321754088818.83,278749.99999999994,454.7308319738988,613,494,0.8058727569331158,113383.99999999994
45,EST,Estonia,27469461919.1189,716.0000000000001,42.117647058823536,17,13,0.7647058823529411,604.0000000000001
46,ETH,Ethiopia,76366081766.6667,9606.0,738.9230769230769,13,13,1.0,9606.0
47,FIN,Finland,253846138440.0,67266.0,365.57608695652175,184,146,0.7934782608695652,25822.0
48,FRA,France,2588868323334.71,558810.9520721759,276.9132567255579,2018,1980,0.981169474727453,95778.95207217589
49,GAB,Gabon,14929487485.1623,2355.0,392.5,6,3,0.5,795.0
50,GBR,United Kingdom,2699118387873.1,338987.8312159142,132.2621268887687,2563,2172,0.8474444010924698,66847.83121591424
51,GEO,Georgia,16473125375.0684,10371.0,545.8421052631579,19,16,0.8421052631578947,8335.0
52,GHA,Ghana,60385409434.8567,9668.643103050164,1933.728620610033,5,3,0.6,7123.738288272649
53,GIN,Guinea,10324668271.1362,2191.7329639541813,243.52588488379791,9,6,0.6666666666666666,1795.3414122912363
54,GMB,Gambia,1504909462.69521,287.15279705095736,143.57639852547868,2,0,0.0,
55,GNB,Guinea-Bissau,1469978606.12143,88.3034015834441,88.3034015834441,1,0,0.0,
56,GNQ,Equatorial Guinea,12200913878.9827,881.1171423633187,293.70571412110627,3,1,0.3333333333333333,564.1637267504121
57,GRC,Greece,200381103984.298,50254.0,661.2368421052631,76,54,0.7105263157894737,12088.0
58,GTM,Guatemala,71653780740.4226,10725.0,143.0,75,49,0.6533333333333333,7358.000000000001
59,GUY,Guyana,4748174334.14044,1037.558759988414,207.5117519976828,5,1,0.2,599.8508294641676
60,HND,Honduras,23136247990.5977,7996.999999999999,257.96774193548384,31,24,0.7741935483870968,3522.9999999999995
61,HRV,Croatia,56182225079.1072,12624.0,526.0,24,17,0.7083333333333334,9125.0
62,HUN,Hungary,143335098991.862,26061.0,2171.75,12,0,0.0,
63,IDN,Indonesia,1015618744159.73,227587.0,1440.4240506329113,158,51,0.3227848101265823,25185.999999999996
64,IND,India,2651474262755.45,1285862.0,1674.2994791666667,768,469,0.6106770833333334,197615.00000000003
65,IRL,Ireland,348355212568.515,26180.0,443.728813559322,59,42,0.711864406779661,6594.999999999999
66,IRN,Iran,510239893417.645,274032.0,2740.32,100,21,0.21,14220.000000000002
67,IRQ,Iraq,187217660050.676,67768.0,2420.285714285714,28,8,0.2857142857142857,2930.9999999999995
68,ISL,Iceland,25060086487.8901,18111.0,905.55,20,20,1.0,18111.0
69,ISR,Israel,357360816856.642,60433.0,2518.0416666666665,24,10,0.4166666666666667,840.0000000000001
70,ITA,Italy,1970720904584.71,258641.0,1047.1295546558704,247,166,0.6720647773279352,103656.0
71,JAM,Jamaica,15783583236.675,3976.0000000000005,441.7777777777778,9,4,0.4444444444444444,255.0
72,JOR,Jordan,45535614366.1972,18154.0,2269.25,8,0,0.0,
73,JPN,Japan,5038231631660.71,1011748.0,3113.070769230769,325,206,0.6338461538461538,119063.0
74,KAZ,Kazakhstan,166805788827.233,104031.0,4161.24,25,5,0.2,8264.0
75,KEN,Kenya,82036510877.2599,9121.0,414.59090909090907,22,16,0.7272727272727273,7407.0
76,KGZ,Kyrgyzstan,7702938379.42036,14455.0,1806.875,8,6,0.75,13298.0
77,KOR,South Korea,1710196756713.17,550535.5172663628,4439.8025585997,124,65,0.5241935483870968,14079.517266362862
78,KWT,Kuwait,120687539805.505,65140.0,8142.5,8,0,0.0,
79,LAO,Laos,17071155481.4994,19921.768109627163,996.0884054813581,20,19,0.95,9412.047179252506
80,LBN,Lebanon,53027680685.9038,17759.0,2537.0,7,0,0.0,
81,LBR,Liberia,3390703400.0,257.1937248131018,128.5968624065509,2,1,0.5,211.1174010410483
82,LBY,Libya,67157452181.7738,37731.0,3144.25,12,0,0.0,
83,LKA,Sri Lanka,94369350439.4732,12420.0,270.0,46,36,0.782608695652174,4844.0
84,LSO,Lesotho,2306741672.29006,201.88808903665245,201.88808903665245,1,1,1.0,201.88808903665245
85,LTU,Lithuania,47756764508.446,2837.0,472.8333333333333,6,2,0.3333333333333333,1088.0
86,LUX,Luxembourg,65712180342.9836,2621.0,1310.5,2,1,0.5,1169.0
87,LVA,Latvia,29391059767.4259,4331.0,866.2,5,3,0.6,1994.0
88,MAR,Morocco,118540573367.844,29142.0,677.7209302325581,43,32,0.7441860465116279,3956.9999999999995
89,MDA,Moldova,9514404016.20949,5322.0,887.0,6,2,0.3333333333333333,317.0
90,MDG,Madagascar,13176313593.5509,1524.6346617747636,138.60315107043306,11,5,0.45454545454545453,396.4277228487291
91,MEX,Mexico,1190721475853.16,301419.0,1200.8725099601593,251,163,0.649402390438247,52893.0
92,MKD,Macedonia,11307067069.6658,4944.0,412.0,12,10,0.8333333333333334,1207.0000000000002
93,MLI,Mali,18308362040.0521,1236.108666556286,309.0271666390715,4,4,1.0,1236.108666556286
94,MMR,Myanmar,66053040483.0016,14092.0,414.47058823529414,34,20,0.5882352941176471,8829.000000000002
95,MNE,Montenegro,4803964684.21648,3174.0,1058.0,3,2,0.6666666666666666,1752.0
96,MNG,Mongolia,11480847740.736,5134.0,2567.0,2,1,0.5,170.0
97,MOZ,Mozambique,13264640645.7768,16175.000000000002,5391.666666666667,3,3,1.0,16175.000000000002
98,MRT,Mauritania,6812472965.33868,1269.9666410625348,211.6611068437558,6,2,0.3333333333333333,254.20835914621665
99,MUS,Mauritius,13896938315.2799,2931.0,162.83333333333334,18,10,0.5555555555555556,593.0
100,MWI,Malawi,8943543793.5839,1571.9326218972142,314.38652437944285,5,4,0.8,1498.4512371831331
101,MYS,Malaysia,319109094160.343,147469.0,3009.5714285714284,49,19,0.3877551020408163,14316.0
102,NAM,Namibia,12895153370.9132,1498.0,187.25,8,4,0.5,1485.0
103,NER,Niger,11359273443.3897,686.0,114.33333333333333,6,0,0.0,
104,NGA,Nigeria,375745731053.427,30390.000000000004,2532.5000000000005,12,3,0.25,5346.0
105,NIC,Nicaragua,13785893007.4769,3106.0,207.06666666666666,15,4,0.26666666666666666,1057.0
106,NLD,Netherlands,848233537845.884,93830.0,1617.7586206896551,58,40,0.6896551724137931,5797.000000000001
107,NOR,Norway,415673181543.421,141453.0,462.2647058823529,306,301,0.9836601307189542,138852.0
108,NPL,Nepal,28971588940.364,3788.9999999999995,315.74999999999994,12,12,1.0,3788.9999999999995
109,NZL,New Zealand,206561943051.354,42868.0,996.9302325581396,43,38,0.8837209302325582,33808.0
110,OMN,Oman,80856697009.1027,28371.0,3152.3333333333335,9,0,0.0,
111,PAK,Pakistan,339205534861.1,105305.0,1847.4561403508771,57,22,0.38596491228070173,31825.0
112,PAN,Panama,64327688800.0,9139.0,652.7857142857143,14,8,0.5714285714285714,5034.0
113,PER,Peru,211007984080.911,43676.0,1455.8666666666666,30,20,0.6666666666666666,22471.0
114,PHL,Philippines,328480736802.76,77196.0,867.370786516854,89,51,0.5730337078651685,19744.0
115,PNG,Papua New Guinea,22742699138.356,3809.22309330421,253.94820622028067,15,7,0.4666666666666667,993.693273959192
116,POL,Poland,528356723263.073,158860.0,2692.5423728813557,59,8,0.13559322033898305,20387.0
117,PRT,Portugal,220862990767.229,51438.000000000015,111.33766233766237,462,432,0.935064935064935,32163.000000000015
118,PRY,Paraguay,38997129473.5558,55276.0,18425.333333333332,3,3,1.0,55276.0
119,QAT,Qatar,161099122225.275,38692.0,3224.3333333333335,12,0,0.0,
120,ROU,Romania,210147385855.419,63069.0,2034.483870967742,31,13,0.41935483870967744,25481.0
121,RUS,Russia,1574199360089.0,1077332.0719258026,6861.987719272628,157,21,0.1337579617834395,177141.0
122,RWA,Rwanda,9164345443.2575,784.9801538795158,78.49801538795158,10,6,0.6,431.6037269003352
123,SAU,Saudi Arabia,741266133333.333,311805.99999999994,3625.651162790697,86,2,0.023255813953488372,1.0
124,SDN,Sudan,41283617976.1905,11376.0,598.7368421052631,19,8,0.42105263157894735,8913.0
125,SEN,Senegal,20965069572.7168,3439.9999999999995,573.3333333333333,6,1,0.16666666666666666,323.0
126,SGP,Singapore,344795119213.571,48646.99999999999,3474.7857142857138,14,0,0.0,
127,SLE,Sierra Leone,5749846528.48046,548.4276238835225,182.80920796117417,3,1,0.3333333333333333,184.6815039825193
128,SLV,El Salvador,24979190000.0,5784.0,723.0,8,6,0.75,3276.0
129,SRB,Serbia,45972834713.8077,33783.0,2815.25,12,4,0.3333333333333333,11617.0
130,SVK,Slovakia,95978130734.9766,24936.0,890.5714285714286,28,21,0.75,4462.0
131,SVN,Slovenia,48153200134.6613,16869.0,2108.625,8,3,0.375,6366.0
132,SWE,Sweden,535172356784.769,149766.0,896.8023952095808,167,160,0.9580838323353293,84176.00000000001
133,SWZ,Swaziland,4462640651.49219,431.81227175806254,71.9687119596771,6,6,1.0,431.81227175806254
134,SYR,Syrian Arab Republic,16369842725.4718,21726.0,1207.0,18,3,0.16666666666666666,3000.0
135,TGO,Togo,6387424239.8801,137.0,45.666666666666664,3,1,0.3333333333333333,120.0
136,THA,Thailand,456356813536.764,171592.0,1027.497005988024,167,130,0.7784431137724551,15453.0
137,TJK,Tajikistan,7536402852.85802,15999.999999999998,1599.9999999999998,10,8,0.8,15999.999999999998
138,TKM,Turkmenistan,33352261306.5327,20400.0,2914.285714285714,7,0,0.0,
139,TTO,Trinidad and Tobago,23830750900.6899,9891.0,1648.5,6,0,0.0,
140,TUN,Tunisia,42163530590.9462,18483.0,684.5555555555555,27,8,0.2962962962962963,563.0
141,TUR,Turkey,863874522365.276,250531.0,2582.7938144329896,97,50,0.5154639175257731,51546.0
142,TZA,Tanzania,53274884532.7886,6179.0,561.7272727272727,11,6,0.5454545454545454,2590.0
143,UGA,Uganda,30744473841.424,4347.583921182832,543.447990147854,8,7,0.875,2900.503092534493
144,UKR,Ukraine,112090505081.739,180910.0,5835.806451612903,31,10,0.3225806451612903,9318.0
145,URY,Uruguay,65006039809.739,13011.0,178.23287671232876,73,66,0.9041095890410958,11829.0
146,USA,United States of America,19612102000000.0,4341226.73925885,539.8192911289294,8042,4337,0.5392937080328276,572700.448517215
147,UZB,Uzbekistan,72276404057.649,55400.0,3693.3333333333335,15,6,0.4,11830.0
148,VEN,Venezuela,115892475742.789,109827.0,2554.1162790697676,43,9,0.20930232558139536,87194.0
149,VNM,Vietnam,281353605986.903,140913.0,643.4383561643835,219,181,0.8264840182648402,58690.000000000015
150,YEM,Yemen,26842229044.5848,7646.0,1092.2857142857142,7,0,0.0,
151,ZAF,South Africa,381448814653.456,252445.12342703925,2575.9706472146863,98,73,0.7448979591836735,6442.123427039234
152,ZMB,Zambia,25873601260.8353,14452.0,1032.2857142857142,14,6,0.42857142857142855,14042.0
153,ZWE,Zimbabwe,51035657370.5179,9828.0,4914.0,2,1,0.5,5431.0
